ano_compra;"nome_instituicao";"esfera";"cnpj_instituicao";"municipio_instituicao";"uf";compra;insercao;codigo_br;"descricao_catmat";"unidade_fornecimento";"generico";"anvisa";"modalidade_compra";"tipo_compra";capacidade;"unidade_medida";"unidade_fornecimento_capacidade";"cnpj_fornecedor";"fornecedor";"cnpj_fabricante";"fabricante";qtd_itens_comprados;preco_unitario;preco_total
"2023";"MUNICIPIO DE ESTEIO";"MUNICIPAL";"88.150.495/0001-86";"ESTEIO";"RS";"14/07/2023";"22/12/2025";"358131";"FRALDA DESCARTÁVEL, TIPO FORMATO:ANATÔMICO, TAMANHO:MÉDIO, PESO USUÁRIO:DE 40 A 70 KG, CARACTERÍSTICAS ADICIONAIS:FLOCOS DE GEL, ABAS ANTIVAZAMENTO, FAIXA AJUSTÁVEL, TIPO ADESIVO FIXAÇÃO:FITAS ADESIVAS MULTIAJUSTÁVEIS, TIPO USUÁRIO:ADULTO, USO:ALGODÃO NÃO DESFAÇA QUANDO MOLHADO";"UNIDADE";;;"Pregão";"ADMINISTRATIVA";;;"UNIDADE";"01.733.345/0001-17";"NOELI VIEIRA DISTRIBUIDORA DE SOROS E EQUIPAMENTOS MEDICOS LTDA";"28.184.138/0001-07";"WF INDUSTRIA E COMERCIO DE FRALDAS LTDA";"10000";"0.07";"700.0"
"2023";;"MUNICIPAL";"46.362.927/0001-72";"BROTAS";"SP";"14/07/2023";"15/04/2025";"292732";"FUROSEMIDA, COMPOSIÇÃO:ASSOCIADA COM CLORETO DE POTÁSSIO, DOSAGEM:40 MG + 100 MG";"COMPRIMIDO";"S";"1044400370058";"Inexigibilidade de Licitação";"ADMINISTRATIVA";;;"COMPRIMIDO";"04.851.958/0001-47";"R.P.4 DISTRIBUIDORA DE MEDICAMENTOS LTDA";"33.145.194/0001-72";"LABORATORIO GROSS S A";"720";"1.02";"734.4"
"2023";"MUNICIPIO DE PONGAI";"MUNICIPAL";"46.227.849/0001-01";"PONGAI";"SP";"14/07/2023";"06/03/2026";"267651";"ENALAPRIL MALEATO, DOSAGEM:10 MG";"COMPRIMIDO";"S";"1057101580109";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"67.729.178/0005-72";"COMERCIAL CIRURGICA RIOCLARENSE LTDA";"18.324.343/0001-77";"BELFAR LTDA";"30000";"0.039";"1170.0"
"2023";;"MUNICIPAL";"46.362.927/0001-72";"BROTAS";"SP";"14/07/2023";"15/04/2025";"396702";"NEBIVOLOL, COMPOSIÇÃO:SAL CLORIDRATO, CONCENTRAÇÃO:5 MG";"COMPRIMIDO";"S";"1037006890045";"Inexigibilidade de Licitação";"ADMINISTRATIVA";;;"COMPRIMIDO";"04.851.958/0001-47";"R.P.4 DISTRIBUIDORA DE MEDICAMENTOS LTDA";"17.159.229/0001-76";"LABORATORIO TEUTO BRASILEIRO S/A";"720";"0.66";"475.2"
"2023";"MUNICIPIO DE PONGAI";"MUNICIPAL";"46.227.849/0001-01";"PONGAI";"SP";"14/07/2023";"06/03/2026";"268273";"NITROFURANTOÍNA, DOSAGEM:100 MG";"CÁPSULA";"S";"1781707870069";"Pregão";"ADMINISTRATIVA";;;"CÁPSULA";"33.315.644/0001-28";"M & D COMERCIAL HOSPITALAR LTDA";"61.082.426/0002-07";"COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.";"1250";"0.52";"650.0"
"2023";;"MUNICIPAL";"46.362.927/0001-72";"BROTAS";"SP";"14/07/2023";"15/04/2025";"393831";"CICLOBENZAPRINA CLORIDRATO, COMPOSIÇÃO:ASSOCIADO COM LISINA CLONIXINATO, CONCENTRAÇÃO:5 MG + 125 MG";"COMPRIMIDO";"S";"1023511260037";"Inexigibilidade de Licitação";"ADMINISTRATIVA";;;"COMPRIMIDO";"04.851.958/0001-47";"R.P.4 DISTRIBUIDORA DE MEDICAMENTOS LTDA";"57.507.378/0003-65";"EMS S/A";"720";"1.16";"835.2"
"2023";"MUNICIPIO DE PONGAI";"MUNICIPAL";"46.227.849/0001-01";"PONGAI";"SP";"14/07/2023";"06/03/2026";"276657";"METOPROLOL, PRINCÍPIO ATIVO:SAL SUCCINATO, DOSAGEM:50 MG, APRESENTAÇÃO:LIBERAÇÃO CONTROLADA";"COMPRIMIDO";"S";"1438102800136";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"33.315.644/0001-28";"M & D COMERCIAL HOSPITALAR LTDA";"02.814.497/0001-07";"CIMED INDUSTRIA S.A.";"1000";"0.64";"640.0"
"2023";"MUNICIPIO DE PONGAI";"MUNICIPAL";"46.227.849/0001-01";"PONGAI";"SP";"14/07/2023";"06/03/2026";"268851";"NORFLOXACINO, DOSAGEM:400 MG";"COMPRIMIDO";"S";"1053501640017";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"33.315.644/0001-28";"M & D COMERCIAL HOSPITALAR LTDA";"17.115.437/0001-73";"LABORATORIO GLOBO SA";"1000";"0.62";"620.0"
"2023";"MUNICIPIO DE PONGAI";"MUNICIPAL";"46.227.849/0001-01";"PONGAI";"SP";"14/07/2023";"06/03/2026";"296743";"OLMESARTANA MEDOXOMILA, COMPOSIÇÃO:ASSOCIADA COM HIDROCLOROTIAZIDA, CONCENTRAÇÃO:40 MG + 12,5 MG";"COMPRIMIDO";"S";"1004311360082";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"33.315.644/0001-28";"M & D COMERCIAL HOSPITALAR LTDA";"61.190.096/0001-92";"EUROFARMA LABORATORIOS S.A.";"250";"1.25";"312.5"
"2023";"MUNICIPIO DE PONGAI";"MUNICIPAL";"46.227.849/0001-01";"PONGAI";"SP";"14/07/2023";"06/03/2026";"271606";"NORTRIPTILINA CLORIDRATO, DOSAGEM:25 MG";"CÁPSULA";"S";"1235201910021";"Pregão";"ADMINISTRATIVA";;;"CÁPSULA";"33.315.644/0001-28";"M & D COMERCIAL HOSPITALAR LTDA";"73.663.650/0001-90";"RANBAXY FARMACEUTICA LTDA";"2000";"0.3";"600.0"
